seed,method,audc,ett80
6,voi,0.8333333333333334,10.0
6,conformal_width,0.375,30.0
6,risktriage,0.9583333333333334,10.0
7,random,0.7083333333333334,30.0
7,sabatier,0.4583333333333333,30.0
7,ml_rank,0.875,10.0
7,variance,0.7916666666666666,20.0
7,ucb,0.875,10.0
7,ei,0.875,10.0
7,voi,0.8333333333333334,20.0
7,conformal_width,0.7916666666666666,20.0
7,risktriage,0.875,10.0
8,random,0.4444444444444444,30.0
8,sabatier,0.27777777777777773,30.0
8,ml_rank,0.9444444444444443,10.0
8,variance,0.7222222222222222,15.0
8,ucb,0.9444444444444443,10.0
8,ei,0.9444444444444443,10.0
8,voi,0.8888888888888888,10.0
8,conformal_width,0.7222222222222222,15.0
8,risktriage,0.9444444444444443,10.0
9,random,0.5,25.0
9,sabatier,0.20833333333333334,
9,ml_rank,0.9166666666666666,15.0
9,variance,0.4583333333333333,30.0
9,ucb,0.9166666666666666,15.0
9,ei,0.9166666666666666,15.0
9,voi,0.9166666666666666,10.0
9,conformal_width,0.4583333333333333,30.0
9,risktriage,0.9166666666666666,15.0
10,random,0.5,30.0
10,sabatier,0.611111111111111,30.0
10,ml_rank,0.9444444444444443,10.0
10,variance,0.611111111111111,25.0
10,ucb,0.9444444444444443,10.0
10,ei,0.8888888888888888,10.0
10,voi,0.5,30.0
10,conformal_width,0.611111111111111,25.0
10,risktriage,0.9444444444444443,10.0
11,random,0.7916666666666666,20.0
11,sabatier,0.25,30.0
11,ml_rank,0.9166666666666666,10.0
11,variance,0.5416666666666666,30.0
11,ucb,0.9166666666666666,10.0
11,ei,0.9166666666666666,10.0
11,voi,0.8333333333333334,15.0
11,conformal_width,0.5416666666666666,30.0
11,risktriage,0.9166666666666666,10.0
12,random,0.611111111111111,25.0
12,sabatier,0.3333333333333333,30.0
12,ml_rank,0.9444444444444443,10.0
12,variance,0.4444444444444444,25.0
12,ucb,0.9444444444444443,10.0
12,ei,0.9444444444444443,10.0
12,voi,0.7222222222222222,20.0
12,conformal_width,0.4444444444444444,25.0
12,risktriage,0.9444444444444443,10.0
13,random,0.7222222222222222,20.0
13,sabatier,0.3333333333333333,30.0
13,ml_rank,0.9444444444444443,10.0
13,variance,0.7222222222222222,25.0
13,ucb,0.9444444444444443,10.0
13,ei,0.9444444444444443,10.0
13,voi,0.8888888888888888,10.0
13,conformal_width,0.7222222222222222,25.0
13,risktriage,0.9444444444444443,10.0
14,random,0.625,20.0
14,sabatier,0.25,30.0
14,ml_rank,1.0,5.0
14,variance,0.3333333333333333,30.0
14,ucb,0.9583333333333334,10.0
14,ei,1.0,5.0
14,voi,0.7916666666666666,15.0
14,conformal_width,0.3333333333333333,30.0
14,risktriage,1.0,5.0
15,random,0.4583333333333333,30.0
15,sabatier,0.20833333333333334,30.0
15,ml_rank,0.9583333333333334,10.0
15,variance,0.6666666666666666,25.0
15,ucb,0.9583333333333334,10.0
15,ei,0.9583333333333334,10.0
15,voi,0.9583333333333334,10.0
15,conformal_width,0.6666666666666666,25.0
15,risktriage,0.9583333333333334,10.0
16,random,0.625,
16,sabatier,0.20833333333333334,
16,ml_rank,0.9166666666666666,10.0
16,variance,0.4166666666666667,30.0
16,ucb,0.9166666666666666,10.0
16,ei,0.9166666666666666,10.0
16,voi,0.7083333333333334,30.0
16,conformal_width,0.4166666666666667,30.0
16,risktriage,0.9166666666666666,10.0
17,random,0.7083333333333334,20.0
17,sabatier,0.20833333333333334,30.0
17,ml_rank,0.9583333333333334,10.0
17,variance,0.4166666666666667,30.0
17,ucb,0.9583333333333334,10.0
17,ei,0.9583333333333334,10.0
17,voi,0.9166666666666666,10.0
17,conformal_width,0.4166666666666667,30.0
17,risktriage,0.9583333333333334,10.0
18,random,0.4583333333333333,30.0
18,sabatier,0.20833333333333334,
18,ml_rank,0.9583333333333334,10.0
18,variance,0.5833333333333334,30.0
18,ucb,0.9583333333333334,10.0
18,ei,0.9583333333333334,10.0
18,voi,0.7083333333333334,20.0
18,conformal_width,0.5833333333333334,30.0
18,risktriage,0.9583333333333334,10.0
19,random,0.5,30.0
19,sabatier,0.4166666666666667,
19,ml_rank,0.9166666666666666,10.0
19,variance,0.75,20.0
19,ucb,0.9166666666666666,10.0
19,ei,0.9166666666666666,10.0
19,voi,0.7083333333333334,30.0
19,conformal_width,0.75,20.0
19,risktriage,0.9166666666666666,10.0
