n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,split,coverage,width
30,0.2,0.6333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,crc,0.03333333333333333,0.06666666666666667,8,iid,0.2,0.052997860604762116
30,0.2,0.6333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,rac,0.03333333333333333,0.06666666666666667,8,iid,0.2,0.052997860604762116
43,0.0,0.23255813953488372,0.7674418604651163,,0.0,0.0,split_cp,0.0,0.1534883720930233,8,ood,0.9767441860465116,0.6241968125821232
43,0.18604651162790697,0.813953488372093,0.0,0.375,0.08571428571428572,0.13953488372093023,crc,0.13953488372093023,0.13953488372093023,8,ood,0.0,0.0
43,0.18604651162790697,0.813953488372093,0.0,0.375,0.08571428571428572,0.13953488372093023,rac,0.13953488372093023,0.13953488372093023,8,ood,0.0,0.0
31,0.06451612903225806,0.12903225806451613,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,9,iid,0.9354838709677419,0.46576532328148756
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,crc,0.22580645161290322,0.22580645161290322,9,iid,0.0,0.0
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,rac,0.22580645161290322,0.22580645161290322,9,iid,0.0,0.0
58,0.017241379310344827,0.20689655172413793,0.7758620689655172,0.0,0.08333333333333333,0.017241379310344827,split_cp,0.017241379310344827,0.1724137931034483,9,ood,0.9482758620689655,0.7562904608991992
58,0.10344827586206896,0.3793103448275862,0.5172413793103449,0.0,0.13636363636363635,0.05172413793103448,crc,0.05172413793103448,0.15517241379310343,9,ood,0.8448275862068966,0.41186875634602943
58,0.10344827586206896,0.3793103448275862,0.5172413793103449,0.0,0.13636363636363635,0.05172413793103448,rac,0.05172413793103448,0.15517241379310343,9,ood,0.8448275862068966,0.41186875634602943
30,0.0,0.26666666666666666,0.7333333333333333,,0.0,0.0,split_cp,0.0,0.1466666666666667,10,iid,0.9666666666666667,0.6614151476244106
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,crc,0.06666666666666667,0.06666666666666667,10,iid,0.0,0.0
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,rac,0.06666666666666667,0.06666666666666667,10,iid,0.0,0.0
80,0.0125,0.025,0.9625,0.0,0.0,0.0,split_cp,0.0,0.19249999999999998,10,ood,0.9375,0.7524312643465754
80,0.1,0.1125,0.7875,0.125,0.0,0.0125,crc,0.0125,0.16999999999999998,10,ood,0.7125,0.3792261245796378
80,0.1,0.1125,0.7875,0.125,0.0,0.0125,rac,0.0125,0.16999999999999998,10,ood,0.7125,0.3792261245796378
31,0.06451612903225806,0.45161290322580644,0.4838709677419355,0.0,0.0,0.0,split_cp,0.0,0.09677419354838712,11,iid,0.9354838709677419,0.3559287074292191
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,crc,0.03225806451612903,0.03225806451612903,11,iid,0.0,0.0
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,rac,0.03225806451612903,0.03225806451612903,11,iid,0.0,0.0
44,0.0,0.22727272727272727,0.7727272727272727,,0.0,0.0,split_cp,0.0,0.15454545454545457,11,ood,1.0,0.7419038230002992
44,0.2727272727272727,0.7272727272727273,0.0,0.4166666666666667,0.03125,0.13636363636363635,crc,0.13636363636363635,0.13636363636363635,11,ood,0.0,0.0
44,0.2727272727272727,0.7272727272727273,0.0,0.4166666666666667,0.03125,0.13636363636363635,rac,0.13636363636363635,0.13636363636363635,11,ood,0.0,0.0
30,0.0,0.2,0.8,,0.0,0.0,split_cp,0.0,0.16000000000000006,12,iid,0.9666666666666667,0.6510991106681062
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,crc,0.2,0.2,12,iid,0.0,0.0
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,rac,0.2,0.2,12,iid,0.0,0.0
12,0.0,0.0,1.0,,,0.0,split_cp,0.0,0.20000000000000004,12,ood,1.0,1.0275537235560495
12,0.0,0.25,0.75,,0.0,0.0,crc,0.0,0.15,12,ood,1.0,0.3375560169966915
12,0.0,0.25,0.75,,0.0,0.0,rac,0.0,0.15,12,ood,1.0,0.3375560169966915
30,0.0,0.13333333333333333,0.8666666666666667,,0.0,0.0,split_cp,0.0,0.17333333333333337,13,iid,1.0,0.6814469880327182
30,0.2,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,crc,0.0,0.04666666666666666,13,iid,0.6,0.16173116408960717
30,0.2,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,rac,0.0,0.04666666666666666,13,iid,0.6,0.16173116408960717
66,0.045454545454545456,0.13636363636363635,0.8181818181818182,0.0,0.0,0.0,split_cp,0.0,0.16363636363636358,13,ood,0.8636363636363636,0.5640459504458208
66,0.19696969696969696,0.803030303030303,0.0,0.15384615384615385,0.03773584905660377,0.06060606060606061,crc,0.06060606060606061,0.06060606060606061,13,ood,0.0,0.0
66,0.19696969696969696,0.803030303030303,0.0,0.15384615384615385,0.03773584905660377,0.06060606060606061,rac,0.06060606060606061,0.06060606060606061,13,ood,0.0,0.0
31,0.03225806451612903,0.16129032258064516,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,14,iid,0.9354838709677419,0.6469916801991991
31,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.0,0.0,0.0,crc,0.0,0.05806451612903226,14,iid,0.6129032258064516,0.15111591435039767
31,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.0,0.0,0.0,rac,0.0,0.05806451612903226,14,iid,0.6129032258064516,0.15111591435039767
49,0.061224489795918366,0.3469387755102041,0.5918367346938775,0.0,0.0,0.0,split_cp,0.0,0.11836734693877553,14,ood,0.9387755102040817,0.4279033621364871
49,0.16326530612244897,0.5714285714285714,0.2653061224489796,0.0,0.03571428571428571,0.02040816326530612,crc,0.02040816326530612,0.07346938775510205,14,ood,0.5102040816326531,0.15779885839719787
49,0.16326530612244897,0.5714285714285714,0.2653061224489796,0.0,0.03571428571428571,0.02040816326530612,rac,0.02040816326530612,0.07346938775510205,14,ood,0.5102040816326531,0.15779885839719787
31,0.03225806451612903,0.1935483870967742,0.7741935483870968,0.0,0.0,0.0,split_cp,0.0,0.15483870967741942,15,iid,0.967741935483871,0.6227104051353125
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,crc,0.1935483870967742,0.1935483870967742,15,iid,0.0,0.0
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,rac,0.1935483870967742,0.1935483870967742,15,iid,0.0,0.0
43,0.023255813953488372,0.37209302325581395,0.6046511627906976,1.0,0.0,0.023255813953488372,split_cp,0.023255813953488372,0.14418604651162792,15,ood,0.8837209302325582,0.49750660706845073
43,0.20930232558139536,0.7906976744186046,0.0,0.3333333333333333,0.058823529411764705,0.11627906976744186,crc,0.11627906976744186,0.11627906976744186,15,ood,0.023255813953488372,0.011744875097098767
43,0.20930232558139536,0.7906976744186046,0.0,0.3333333333333333,0.058823529411764705,0.11627906976744186,rac,0.11627906976744186,0.11627906976744186,15,ood,0.023255813953488372,0.011744875097098767
32,0.0625,0.25,0.6875,0.0,0.0,0.0,split_cp,0.0,0.1375,16,iid,0.9375,0.5974697325364042
