method,seed,t,R
split_cp,5,0.05,
split_cp,5,0.1,
split_cp,5,0.2,
split_cp,5,0.3,0.034482758620689655
split_cp,5,0.5,0.034482758620689655
split_cp,6,0.05,
split_cp,6,0.1,
split_cp,6,0.2,
split_cp,6,0.3,0.06451612903225806
split_cp,6,0.5,0.03225806451612903
split_cp,7,0.05,
split_cp,7,0.1,
split_cp,7,0.2,0.03125
split_cp,7,0.3,0.0
split_cp,7,0.5,0.0
split_cp,8,0.05,
split_cp,8,0.1,
split_cp,8,0.2,
split_cp,8,0.3,0.03333333333333333
split_cp,8,0.5,0.0
split_cp,9,0.05,
split_cp,9,0.1,
split_cp,9,0.2,
split_cp,9,0.3,0.06451612903225806
split_cp,9,0.5,0.03225806451612903
split_cp,10,0.05,
split_cp,10,0.1,0.03333333333333333
split_cp,10,0.2,0.03333333333333333
split_cp,10,0.3,0.0
split_cp,10,0.5,0.0
split_cp,11,0.05,
split_cp,11,0.1,
split_cp,11,0.2,0.0
split_cp,11,0.3,0.0
split_cp,11,0.5,0.0
split_cp,12,0.05,
split_cp,12,0.1,
split_cp,12,0.2,
split_cp,12,0.3,
split_cp,12,0.5,0.0
split_cp,13,0.05,
split_cp,13,0.1,
split_cp,13,0.2,
split_cp,13,0.3,
split_cp,13,0.5,0.0
split_cp,14,0.05,
split_cp,14,0.1,
split_cp,14,0.2,
split_cp,14,0.3,
split_cp,14,0.5,0.0
split_cp,15,0.05,
split_cp,15,0.1,
split_cp,15,0.2,
split_cp,15,0.3,0.03225806451612903
split_cp,15,0.5,0.03225806451612903
split_cp,16,0.05,0.125
split_cp,16,0.1,0.125
split_cp,16,0.2,0.0625
split_cp,16,0.3,0.03125
split_cp,16,0.5,0.0
split_cp,17,0.05,
split_cp,17,0.1,
split_cp,17,0.2,0.06451612903225806
split_cp,17,0.3,0.06451612903225806
split_cp,17,0.5,0.03225806451612903
split_cp,18,0.05,
split_cp,18,0.1,
split_cp,18,0.2,
split_cp,18,0.3,
split_cp,18,0.5,0.03225806451612903
split_cp,19,0.05,
split_cp,19,0.1,
split_cp,19,0.2,
split_cp,19,0.3,0.0
split_cp,19,0.5,0.0
uncertainty,0,0.05,0.23333333333333334
