n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,c_e,theta_drop,testing_region,lambda
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.2,0.2,1.0,
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,risktriage,0.03225806451612903,0.1032258064516129,2,0.2,0.2,1.0,26.365431707100417
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.1032258064516129,2,0.2,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.1032258064516129,2,0.2,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.4,0.4,1.0,
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,risktriage,0.03225806451612903,0.17419354838709677,2,0.4,0.4,1.0,90.55614025467192
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.17419354838709677,2,0.4,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.17419354838709677,2,0.4,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.6,0.6,0.0,
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,risktriage,0.0967741935483871,0.0967741935483871,2,0.6,0.6,0.0,195.81447330304775
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.24516129032258063,2,0.6,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,rac_interval_cost,0.0967741935483871,0.0967741935483871,2,0.6,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.8,0.8,0.0,
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,risktriage,0.0967741935483871,0.0967741935483871,2,0.8,0.8,0.0,195.81447330304775
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.31612903225806455,2,0.8,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,rac_interval_cost,0.0967741935483871,0.0967741935483871,2,0.8,,,22.596933616798548
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,bayes,0.20689655172413793,0.2079310344827586,3,0.01,0.01,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.2079310344827586,3,0.01,0.01,1.0,1.2719675517433802
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.2079310344827586,3,0.01,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.2079310344827586,3,0.01,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,bayes,0.20689655172413793,0.20948275862068966,3,0.025,0.025,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.20948275862068966,3,0.025,0.025,1.0,1.4674575706618975
