n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,coverage,width
29,0.1724137931034483,0.8275862068965517,0.0,0.0,0.08333333333333333,0.06896551724137931,point,0.06896551724137931,0.06896551724137931,5,0.0,0.009281759218288704
29,0.0,0.1724137931034483,0.8275862068965517,,0.0,0.0,split_cp,0.0,0.16551724137931037,5,0.9310344827586207,0.6778057506421611
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,crc,0.034482758620689655,0.041379310344827586,5,0.0,0.009281759218288704
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,rac,0.034482758620689655,0.041379310344827586,5,0.0,0.009281759218288704
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,uncalibrated,0.16129032258064516,0.16129032258064516,6,0.0,0.0
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,point,0.16129032258064516,0.16129032258064516,6,0.0,0.0
31,0.0,0.1935483870967742,0.8064516129032258,,0.0,0.0,split_cp,0.0,0.16129032258064518,6,0.967741935483871,0.6332300518990831
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,crc,0.16129032258064516,0.16129032258064516,6,0.0,0.0
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,rac,0.16129032258064516,0.16129032258064516,6,0.0,0.0
32,0.15625,0.8125,0.03125,0.4,0.07692307692307693,0.125,uncalibrated,0.125,0.13125,7,0.0,0.0
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,point,0.125,0.125,7,0.0,0.0
32,0.0,0.21875,0.78125,,0.0,0.0,split_cp,0.0,0.15625000000000003,7,0.96875,0.8099476362477352
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,crc,0.125,0.125,7,0.0,0.0
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,rac,0.125,0.125,7,0.0,0.0
30,0.2,0.7666666666666667,0.03333333333333333,0.16666666666666666,0.08695652173913043,0.1,uncalibrated,0.1,0.10666666666666667,8,0.2,0.052997860604762116
30,0.23333333333333334,0.7666666666666667,0.0,0.2857142857142857,0.08695652173913043,0.13333333333333333,point,0.13333333333333333,0.13333333333333333,8,0.2,0.052997860604762116
30,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.0,0.0,0.0,split_cp,0.0,0.13333333333333336,8,0.9333333333333333,0.6974033689315302
30,0.2,0.6333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,crc,0.03333333333333333,0.06666666666666667,8,0.2,0.052997860604762116
30,0.2,0.6333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03333333333333333,rac,0.03333333333333333,0.06666666666666667,8,0.2,0.052997860604762116
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,uncalibrated,0.22580645161290322,0.22580645161290322,9,0.0,0.0
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,point,0.22580645161290322,0.22580645161290322,9,0.0,0.0
31,0.06451612903225806,0.12903225806451613,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,9,0.9354838709677419,0.46576532328148756
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,crc,0.22580645161290322,0.22580645161290322,9,0.0,0.0
31,0.3225806451612903,0.6774193548387096,0.0,0.2,0.23809523809523808,0.22580645161290322,rac,0.22580645161290322,0.22580645161290322,9,0.0,0.0
30,0.0,0.9666666666666667,0.03333333333333333,,0.034482758620689655,0.03333333333333333,uncalibrated,0.03333333333333333,0.04,10,0.0,0.0
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,point,0.06666666666666667,0.06666666666666667,10,0.0,0.0
30,0.0,0.26666666666666666,0.7333333333333333,,0.0,0.0,split_cp,0.0,0.1466666666666667,10,0.9666666666666667,0.6614151476244106
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,crc,0.06666666666666667,0.06666666666666667,10,0.0,0.0
30,0.0,1.0,0.0,,0.06666666666666667,0.06666666666666667,rac,0.06666666666666667,0.06666666666666667,10,0.0,0.0
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,uncalibrated,0.03225806451612903,0.03225806451612903,11,0.0,0.0
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,point,0.03225806451612903,0.03225806451612903,11,0.0,0.0
31,0.06451612903225806,0.45161290322580644,0.4838709677419355,0.0,0.0,0.0,split_cp,0.0,0.09677419354838712,11,0.9354838709677419,0.3559287074292191
