method,seed,r,T
uncertainty,3,0.125,0.3103448275862069
uncertainty,4,0.03,0.8064516129032258
uncertainty,4,0.05,0.6129032258064516
uncertainty,4,0.075,0.5483870967741935
uncertainty,4,0.1,0.3548387096774194
uncertainty,4,0.125,0.3548387096774194
uncertainty,5,0.03,0.896551724137931
uncertainty,5,0.05,0.13793103448275862
uncertainty,5,0.075,0.0
uncertainty,5,0.1,0.0
uncertainty,5,0.125,0.0
uncertainty,6,0.03,0.9032258064516129
uncertainty,6,0.05,0.5483870967741935
uncertainty,6,0.075,0.25806451612903225
uncertainty,6,0.1,0.1935483870967742
uncertainty,6,0.125,0.1935483870967742
uncertainty,7,0.03,0.5625
uncertainty,7,0.05,0.34375
uncertainty,7,0.075,0.15625
uncertainty,7,0.1,0.0625
uncertainty,7,0.125,0.0
uncertainty,8,0.03,0.7333333333333333
uncertainty,8,0.05,0.6
uncertainty,8,0.075,0.2
uncertainty,8,0.1,0.16666666666666666
uncertainty,8,0.125,0.16666666666666666
uncertainty,9,0.03,0.9032258064516129
uncertainty,9,0.05,0.8064516129032258
uncertainty,9,0.075,0.45161290322580644
uncertainty,9,0.1,0.3548387096774194
uncertainty,9,0.125,0.3548387096774194
uncertainty,10,0.03,0.7
uncertainty,10,0.05,0.06666666666666667
uncertainty,10,0.075,0.0
uncertainty,10,0.1,0.0
uncertainty,10,0.125,0.0
uncertainty,11,0.03,0.6129032258064516
uncertainty,11,0.05,0.0
uncertainty,11,0.075,0.0
uncertainty,11,0.1,0.0
uncertainty,11,0.125,0.0
uncertainty,12,0.03,0.6666666666666666
uncertainty,12,0.05,0.6
uncertainty,12,0.075,0.4666666666666667
uncertainty,12,0.1,0.4
uncertainty,12,0.125,0.4
uncertainty,13,0.03,0.16666666666666666
uncertainty,13,0.05,0.06666666666666667
uncertainty,13,0.075,0.0
uncertainty,13,0.1,0.0
uncertainty,13,0.125,0.0
uncertainty,14,0.03,0.6129032258064516
uncertainty,14,0.05,0.5161290322580645
uncertainty,14,0.075,0.0
uncertainty,14,0.1,0.0
uncertainty,14,0.125,0.0
uncertainty,15,0.03,1.0
uncertainty,15,0.05,0.8064516129032258
uncertainty,15,0.075,0.7096774193548387
uncertainty,15,0.1,0.5161290322580645
uncertainty,15,0.125,0.5161290322580645
uncertainty,16,0.03,0.6875
uncertainty,16,0.05,0.65625
uncertainty,16,0.075,0.40625
uncertainty,16,0.1,0.25
uncertainty,16,0.125,0.15625
uncertainty,17,0.03,0.9354838709677419
uncertainty,17,0.05,0.5483870967741935
uncertainty,17,0.075,0.45161290322580644
uncertainty,17,0.1,0.16129032258064516
uncertainty,17,0.125,0.16129032258064516
uncertainty,18,0.03,1.0
uncertainty,18,0.05,0.7096774193548387
uncertainty,18,0.075,0.5161290322580645
uncertainty,18,0.1,0.16129032258064516
uncertainty,18,0.125,0.16129032258064516
uncertainty,19,0.03,0.90625
uncertainty,19,0.05,0.25
uncertainty,19,0.075,0.0625
uncertainty,19,0.1,0.0
uncertainty,19,0.125,0.0
